latent_coordinate,reference_theta,raw_solution
0,2678.804506726614,20.542675732666126
1,1134.6775580089748,6.82301322566685
2,-3949.4121641644124,-120.8452175129425
3,-728.9308067676702,-12.268597201655373
4,-198.8770815993679,-17.75156288758663
5,547.9370269082053,3.255074110128479
6,-663.749554566277,-30.114218964469032
7,718.6210857135618,0.27635084739207894
8,119.18834837623172,-1.8193934318952387
9,194.16375603210713,-28.961224017282934
10,129.46199290125008,17.415811711086498
11,-49.49671569773335,-0.43800266710948
12,-10.255324867554918,19.56153381456668
13,385.26603023756564,5.780255519766656
14,145.19083788565013,7.285659680986392
15,-133.43650765883223,1.598735343264018
16,26.309448413719295,1.896904061732528
17,174.44924509600992,6.282544051188921
18,-409.87210492891006,10.687099146287387
19,-73.33609322024299,2.207881426548193
20,-153.6065328179444,-0.028632502375246182
21,-341.99283889293974,5.452017684258191
22,-169.90465379572828,1.3741306129907778
23,-25.80691639535962,-9.72880513829414
24,-138.93190723334118,-0.29473741780851426
25,293.5552123974732,-2.638878880461616
26,158.63259357523663,0.35054020749342646
27,-194.1941864844585,14.70021686618983
28,206.26367187429491,-3.6228664765771184
29,255.1797556233356,-2.3149972350426906
30,-23.68007155744914,0.28759379189748946
31,-261.99612661352444,2.085967655561935
32,-209.95521254830788,2.7950769272171767
33,465.7637878083447,-2.726205240584509
34,-116.7687335098682,-1.0806965383886817
35,207.8807151338434,-0.9091750080279518
36,799.9698160792389,-2.2827087660812206
37,269.2948558083559,-0.7130585290034589
38,-425.09130063908447,3.597261213082599
39,96.35862286538429,0.821364005073814
40,54.91283592449358,1.1907040976039238
41,-68.74958028961257,0.5136161332272885
42,-618.9897597925607,4.046325718275411
43,3.8219137177979974,1.5783185856659052
44,79.2733713348558,-0.3047522082006957
45,154.67373790435204,-0.24489169616969855
46,108.56768070444464,-0.6612095562079885
47,36.46749280709368,0.8276481090447729
48,4.063393811258464,1.130024776732078
49,-65.6745364665565,-0.06306989116145786
