o_zone_id,d_zone_id,volume,reconstructed_flow,raw_residual,audit_abs_tolerance,audit_pass
1,2,100.0,99.99999999989599,-1.0400924566056347e-10,2e-06,True
1,3,100.0,99.99999999958797,-4.120295216125669e-10,2e-06,True
1,4,500.0,499.9999999977431,-2.2569111024495214e-09,6e-06,True
1,5,200.0,199.9999999954307,-4.5693013817071915e-09,3e-06,True
1,6,300.0,299.99999990353115,-9.646885246183956e-08,4e-06,True
1,7,500.0,499.9999993784912,-6.215087751115789e-07,6e-06,True
1,8,800.0,799.9999994160743,-5.839257255502162e-07,9e-06,True
1,9,500.0,499.9999999815943,-1.8405671653454192e-08,6e-06,True
1,10,1300.0,1299.9999999759984,-2.4001565179787576e-08,1.4000000000000001e-05,True
1,11,500.0,499.99999998862427,-1.1375732356100343e-08,6e-06,True
1,12,200.0,199.99999999898594,-1.0140581707673846e-09,3e-06,True
1,13,500.0,499.9999999983108,-1.6892158782866318e-09,6e-06,True
1,14,300.0,299.99999993710696,-6.289303655648837e-08,4e-06,True
1,15,500.0,499.9999999708914,-2.910860530391801e-08,6e-06,True
1,16,500.0,499.99999934379616,-6.562038379342994e-07,6e-06,True
1,17,400.0,399.9999999652697,-3.47303057424142e-08,4.9999999999999996e-06,True
1,18,100.0,99.99999937803257,-6.21967430447512e-07,2e-06,True
1,19,300.0,299.9999999038069,-9.619310503694578e-08,4e-06,True
1,20,300.0,299.9999995243761,-4.756238922709599e-07,4e-06,True
1,21,100.0,99.99999957379904,-4.2620095541678893e-07,2e-06,True
1,22,400.0,399.9999995736449,-4.2635508634703e-07,4.9999999999999996e-06,True
1,23,300.0,299.999999668176,-3.318240260341554e-07,4e-06,True
1,24,100.0,99.99999969895006,-3.0104993697932514e-07,2e-06,True
2,1,100.0,99.99999999989701,-1.0298606412106892e-10,2e-06,True
2,3,100.0,99.999999999485,-5.150013748789206e-10,2e-06,True
2,4,200.0,199.99999999764012,-2.359882955715875e-09,3e-06,True
2,5,100.0,99.99999984926386,-1.5073614179073047e-07,2e-06,True
2,6,400.0,399.99999990363517,-9.636482900532428e-08,4.9999999999999996e-06,True
2,7,200.0,199.9999993785952,-6.214048084984825e-07,3e-06,True
2,8,400.0,399.9999994161782,-5.838218157805386e-07,4.9999999999999996e-06,True
2,9,200.0,199.99999998149136,-1.8508643506720546e-08,3e-06,True
2,10,600.0,599.9999999758952,-2.4104792828438804e-08,7e-06,True
2,11,200.0,199.99999998852132,-1.1478675787657266e-08,3e-06,True
2,12,100.0,99.99999999888296,-1.1170442348884535e-09,2e-06,True
2,13,300.0,299.9999999982078,-1.792216153262416e-09,4e-06,True
2,14,100.0,99.9999999370039,-6.299609367488301e-08,2e-06,True
2,15,100.0,99.99999982472447,-1.7527553097806958e-07,2e-06,True
2,16,400.0,399.99999934390024,-6.560997576343652e-07,4.9999999999999996e-06,True
2,17,200.0,199.99999931879654,-6.81203459862445e-07,3e-06,True
2,19,100.0,99.99999935973725,-6.402627548141027e-07,2e-06,True
2,20,100.0,99.99999937561563,-6.243843699849094e-07,2e-06,True
2,22,100.0,99.99999957354193,-4.264580724111511e-07,2e-06,True
3,1,100.0,99.99999999957083,-4.291678123991005e-10,2e-06,True
3,2,100.0,99.99999999946682,-5.33177058059664e-10,2e-06,True
3,4,200.0,199.99999999815515,-1.8448531591275241e-09,3e-06,True
3,5,100.0,99.99999999584273,-4.1572718600946246e-09,2e-06,True
3,6,300.0,299.999999903102,-9.689802027423866e-08,4e-06,True
3,7,100.0,99.99999937806203,-6.219379713456874e-07,2e-06,True
3,8,200.0,199.99999941564502,-5.843549786277435e-07,3e-06,True
3,9,100.0,99.99999998200637,-1.799362792098691e-08,2e-06,True
3,10,300.0,299.99999997641015,-2.3589848296978744e-08,4e-06,True
3,11,300.0,299.9999999890363,-1.0963674412778346e-08,4e-06,True
3,12,200.0,199.99999999939797,-6.020286491548177e-10,3e-06,True
3,13,100.0,99.9999999987228,-1.27720056752878e-09,2e-06,True
3,14,100.0,99.99999993751895,-6.248104966743995e-08,2e-06,True
3,15,100.0,99.99999997130332,-2.869667525828845e-08,2e-06,True
3,16,200.0,199.9999993433671,-6.566328920598608e-07,3e-06,True
3,17,100.0,99.9999999656817,-3.4318304642511066e-08,2e-06,True
3,22,100.0,99.99999957405691,-4.259430852471269e-07,2e-06,True
3,23,100.0,99.99999966858798,-3.3141202493425226e-07,2e-06,True
4,1,500.0,499.9999999978903,-2.1096866476000287e-09,6e-06,True
4,2,200.0,199.99999999778632,-2.213681682405877e-09,3e-06,True
4,3,200.0,199.9999999983195,-1.6804904134914977e-09,3e-06,True
4,5,500.0,499.99999999768755,-2.312447122676531e-09,6e-06,True
4,6,400.0,399.9999999454498,-5.455018481370644e-08,4.9999999999999996e-06,True
4,7,400.0,399.99999942040984,-5.795901643068646e-07,4.9999999999999996e-06,True
4,8,700.0,699.9999994579928,-5.420072284323396e-07,8e-06,True
4,9,700.0,699.9999999838512,-1.614876055100467e-08,8e-06,True
4,10,1200.0,1199.999999978255,-2.174510882468894e-08,1.3000000000000001e-05,True
4,11,1400.0,1399.9999999908812,-9.118821253650822e-09,1.5e-05,True
4,12,600.0,599.9999999977174,-2.2826043277746066e-09,7e-06,True
4,13,600.0,599.9999999970423,-2.9576767701655626e-09,7e-06,True
4,14,500.0,499.9999999393638,-6.063618229745771e-08,6e-06,True
4,15,500.0,499.9999999731481,-2.6851921575143933e-08,6e-06,True
4,16,800.0,799.999999385715,-6.142849997559097e-07,9e-06,True
4,17,500.0,499.9999999675266,-3.247339463996468e-08,6e-06,True
4,18,100.0,99.99999941995124,-5.800487627993789e-07,2e-06,True
4,19,200.0,199.99999997056852,-2.94314759230474e-08,3e-06,True
4,20,300.0,299.9999994174304,-5.825696121064539e-07,4e-06,True
4,21,200.0,199.99999957253064,-4.27469359465249e-07,3e-06,True
4,22,400.0,399.99999997032967,-2.9670331969100516e-08,4.9999999999999996e-06,True
4,23,500.0,499.9999996669075,-3.330924869260343e-07,6e-06,True
4,24,200.0,199.9999996976816,-3.0231839787120407e-07,3e-06,True
5,1,200.0,199.9999999953034,-4.696602218245971e-09,3e-06,True
5,2,100.0,99.99999985108288,-1.4891712396547518e-07,2e-06,True
5,3,100.0,99.99999999573257,-4.2674344058468705e-09,2e-06,True
5,4,500.0,499.99999999741306,-2.5869439923553728e-09,6e-06,True
5,6,200.0,199.99999994776226,-5.2237737691029906e-08,3e-06,True
5,7,200.0,199.99999942272228,-5.772777171841881e-07,3e-06,True
5,8,500.0,499.9999994603053,-5.396947244662442e-07,6e-06,True
5,9,800.0,799.9999999861636,-1.3836370271747e-08,9e-06,True
5,10,1000.0,999.9999999805675,-1.9432491171755828e-08,1.1000000000000001e-05,True
5,11,500.0,499.99999998829423,-1.1705765246006195e-08,6e-06,True
5,12,200.0,199.99999999513054,-4.869463055001688e-09,3e-06,True
5,13,200.0,199.99999999445535,-5.544649184230366e-09,3e-06,True
5,14,100.0,99.99999993677686,-6.32231405006678e-08,2e-06,True
5,15,200.0,199.99999997546058,-2.453941760904854e-08,3e-06,True
5,16,500.0,499.99999938802733,-6.119726663200709e-07,6e-06,True
5,17,200.0,199.99999996983897,-3.016103278241644e-08,3e-06,True
5,19,100.0,99.99999997288094,-2.71190572220803e-08,2e-06,True
5,20,100.0,99.99999941974268,-5.802573213031792e-07,2e-06,True
5,21,100.0,99.99999956994365,-4.300563460901685e-07,2e-06,True
5,22,200.0,199.99999997264214,-2.7357856424714555e-08,3e-06,True
5,23,100.0,99.99999966432054,-3.3567945934009913e-07,2e-06,True
6,1,300.0,299.99999990321766,-9.678234391685692e-08,4e-06,True
6,2,400.0,399.9999999033206,-9.667940048529999e-08,4.9999999999999996e-06,True
6,3,300.0,299.99999990280554,-9.719445870359777e-08,4e-06,True
6,4,400.0,399.99999994304176,-5.695824256690685e-08,4.9999999999999996e-06,True
6,5,200.0,199.99999994562867,-5.4371326996260905e-08,3e-06,True
6,7,400.0,399.99999947496,-5.250399794931582e-07,4.9999999999999996e-06,True
6,8,800.0,799.999999512543,-4.874569867752143e-07,9e-06,True
6,9,400.0,399.99999993179233,-6.820766884629847e-08,4.9999999999999996e-06,True
6,10,800.0,799.9999999261962,-7.38037897463073e-08,9e-06,True
6,11,400.0,399.9999999339229,-6.607712066397653e-08,4.9999999999999996e-06,True
6,12,200.0,199.99999990220357,-9.779643050933373e-08,3e-06,True
6,13,200.0,199.9999999015284,-9.847158821685298e-08,3e-06,True
6,14,100.0,99.99999988240556,-1.1759443907521927e-07,2e-06,True
6,15,200.0,199.99999992108926,-7.891074460530945e-08,3e-06,True
6,16,900.0,899.999999440265,-5.597349854724598e-07,1e-05,True
6,17,500.0,499.99999941516137,-5.848386308571207e-07,6e-06,True
6,18,100.0,99.9999994745014,-5.254986064073819e-07,2e-06,True
6,19,200.0,199.99999945610205,-5.438979542304878e-07,3e-06,True
6,20,300.0,299.99999947198046,-5.280195409795851e-07,4e-06,True
6,21,100.0,99.99999941574848,-5.842515236054169e-07,2e-06,True
6,22,200.0,199.9999994635812,-5.364188098155864e-07,3e-06,True
6,23,100.0,99.99999960994921,-3.9005078633636003e-07,2e-06,True
6,24,100.0,99.99999964072333,-3.5927666885982035e-07,2e-06,True
