relative_path,bytes,sha256
ATTRIBUTION.md,895,bf6ffde863f78d72f5d57662588caa8398ec456a86fbe7cf2a2bc1c214ecbeee
DATABASE_AND_OBJECT_DICTIONARY.csv,46252,01513be23fc4ee0f64133f60458273f84d757ca33f19d845e71bd2f63308b1a8
DEMAND_ASSUMPTIONS.md,1686,03c923817016df7ae0d54da7a17d9e17df4322f940dd26ee9418c1e4b21dfe56
GPS_AND_OBSERVATION_STATUS.md,1188,12aca920ff1605ef2b4ae020e730f45aca3a9ebc4ecba563c6690fb6d9cfd7ff
NETWORK_LIMITATIONS.csv,610,105c4e82aa6dad66579cbf56c7e592a51dc9abbde9bc527708e1c1aecb68e5c6
PEDESTRIAN_ACCESS_LIMITATIONS.csv,337,b264ba4ed9ae4a72a530bdcb86e8c22b422fa28870dbe628a42854eb22f28957
PILOT_AREA_DECISION.md,1655,3f5b694c3af1352d84832963b0870b9a8597643d7e68386d747024deeb093006
README.md,954,d41ac9ca9f1311b70f63574342bbb900c2235d78100707556612ef1feeb167ea
RIGHTS_AND_REDISTRIBUTION_REPORT.md,1747,6447aa32439e3e4a1bf960812664ea72fdeda1804e17cbf633aae9632c2ea632
SOURCE_REGISTER.csv,8837,33e37e016f91f9738c5998123f69dbb1cf94f02cd963cc459b4afe75e0cec655
USER_WORKFLOW.md,727,e20b3150f2f53079675a5425579888ce44276e799c4f51aaa3d32d6fcf3a1389
instance/ASSIGNMENT_GATE.json,566,cc60377204b7e3417124278cd53e12b552b3de35e04482b67bd818fbfee4c78a
instance/DEMAND_ACCOUNTING.json,682,215e926ff5275784c20609c02d2a6daba37f3300a3731ed1c510c9df1656b272
instance/GMNS_VALIDATION_SUMMARY.json,1858,e16c4949318f8132757d060275356906b1e51569e96c6698e666ce8f265b7e95
instance/NETWORK_QUALITY_REPORT.json,765,e63533246464b994ee17e07be1a67a292760a6d330db5782b7616e5e5e8fb476
instance/OBSERVATION_QUALITY_REPORT.json,430,19af08d8f567deeeeabf68fd792c0c6b23b1e887e9afcd01f7b538363fc4b800
instance/RELATIONSHIP_TRACE_EXAMPLES.json,2283,37c8fcb0b4f1b972c9e25e602696befd463c743ee832e43f7244e1f8e6266881
instance/ROUNDTRIP_REPORT.json,237,358eea9b2d0ee4e9b52b8b12c4a55bdf085a26b0c30e3c4d4ce5162e939fb70c
instance/TRANSIT_QUALITY_REPORT.json,395,c172afd4b1a6bc6c2c24b0e8e17dd57d9da5b3236150554831d1d404e623d6b4
instance/ZONE_ACCESS_QUALITY_REPORT.json,261,e217a2d7f233217923e3fd64736b2d89213a4541744b13304992b7a0ec7c4790
