latent_coordinate,reference_theta,raw_solution
0,2678.804506726614,34.08138044302666
1,1134.6775580089748,13.77648464487432
2,-3949.4121641644124,-199.86658536703715
3,-728.9308067676702,-37.321370659543604
4,-198.8770815993679,-26.176725216684698
5,547.9370269082053,-63.068061422502346
6,-663.749554566277,-0.34318249341700907
7,718.6210857135618,1.3215570766690583
8,119.18834837623172,16.51092758648093
9,194.16375603210713,-26.052882247113967
10,129.46199290125008,20.959560471847585
11,-49.49671569773335,11.706684732208558
12,-10.255324867554918,35.878770900719836
13,385.26603023756564,24.7423020246535
14,145.19083788565013,8.022875445762239
15,-133.43650765883223,-4.347970844393777
16,26.309448413719295,2.3508802122935855
17,174.44924509600992,24.178704974994343
18,-409.87210492891006,27.12744775693159
19,-73.33609322024299,2.6489691153477857
20,-153.6065328179444,7.614304840039035
21,-341.99283889293974,23.061411377578864
22,-169.90465379572828,-5.182594536532135
23,-25.80691639535962,-14.538828084041858
24,-138.93190723334118,-6.033936229199608
25,293.5552123974732,3.5187763201766376
26,158.63259357523663,1.6975464325785885
27,-194.1941864844585,30.088428356218266
28,206.26367187429491,-1.8097850889936846
29,255.1797556233356,-6.9263518614318
30,-23.68007155744914,2.2220981293553446
31,-261.99612661352444,4.4451664993646025
32,-209.95521254830788,4.939682335362632
33,465.7637878083447,-4.24883952680927
34,-116.7687335098682,-0.2024871032652768
35,207.8807151338434,-1.2516753237664242
36,799.9698160792389,-5.489688020923633
37,269.2948558083559,-0.41121329495066045
38,-425.09130063908447,3.9335760628391663
39,96.35862286538429,-0.8498601145241546
40,54.91283592449358,3.049565941929949
41,-68.74958028961257,1.0946895337611684
42,-618.9897597925607,7.214930250239702
43,3.8219137177979974,1.9056070976035224
44,79.2733713348558,-0.08541544322372038
45,154.67373790435204,-0.9706194469185428
46,108.56768070444464,-0.8504197025249334
47,36.46749280709368,0.7023866586236917
48,4.063393811258464,0.7363116314136635
49,-65.6745364665565,1.2942919171881382
