comparison_axis,scenario_id,scale_id,scope,mode_id,person_trips_conditional_engineering_mass,weighted_conditional_probability,evaluated_person_trips,unknown_person_trips
WITHIN_ABSOLUTE_SPECIFICATION,ABS_PLANNED,UNIT_BOUNDARY_PRIMARY,87 four-mode known objects conditional sufficient-vehicle sensitivity,DA,180.99898089373232,0.6758299375915624,267.81734697748624,64.12311160357895
WITHIN_ABSOLUTE_SPECIFICATION,ABS_PLANNED,UNIT_BOUNDARY_PRIMARY,87 four-mode known objects conditional sufficient-vehicle sensitivity,S2,50.881093005557936,0.18998430676648886,267.81734697748624,64.12311160357895
WITHIN_ABSOLUTE_SPECIFICATION,ABS_PLANNED,UNIT_BOUNDARY_PRIMARY,87 four-mode known objects conditional sufficient-vehicle sensitivity,S3,30.737745694619452,0.11477130231300285,267.81734697748624,64.12311160357895
WITHIN_ABSOLUTE_SPECIFICATION,ABS_PLANNED,UNIT_BOUNDARY_PRIMARY,87 four-mode known objects conditional sufficient-vehicle sensitivity,TW,5.19952738357652,0.01941445332894591,267.81734697748624,64.12311160357895
WITHIN_ABSOLUTE_SPECIFICATION,ABS_OBS_EXPLORATORY,UNIT_BOUNDARY_PRIMARY,87 four-mode known objects conditional sufficient-vehicle sensitivity,DA,180.99636118977853,0.6758201559101912,267.81734697748624,64.12311160357895
WITHIN_ABSOLUTE_SPECIFICATION,ABS_OBS_EXPLORATORY,UNIT_BOUNDARY_PRIMARY,87 four-mode known objects conditional sufficient-vehicle sensitivity,S2,50.88035657378433,0.1899815570126663,267.81734697748624,64.12311160357895
WITHIN_ABSOLUTE_SPECIFICATION,ABS_OBS_EXPLORATORY,UNIT_BOUNDARY_PRIMARY,87 four-mode known objects conditional sufficient-vehicle sensitivity,S3,30.737300809275187,0.11476964116091809,267.81734697748624,64.12311160357895
WITHIN_ABSOLUTE_SPECIFICATION,ABS_OBS_EXPLORATORY,UNIT_BOUNDARY_PRIMARY,87 four-mode known objects conditional sufficient-vehicle sensitivity,TW,5.203328404648169,0.019428645916224316,267.81734697748624,64.12311160357895
WITHIN_ABSOLUTE_SPECIFICATION,ABS_RESTORE,UNIT_BOUNDARY_PRIMARY,87 four-mode known objects conditional sufficient-vehicle sensitivity,DA,180.99898089373232,0.6758299375915624,267.81734697748624,64.12311160357895
WITHIN_ABSOLUTE_SPECIFICATION,ABS_RESTORE,UNIT_BOUNDARY_PRIMARY,87 four-mode known objects conditional sufficient-vehicle sensitivity,S2,50.881093005557936,0.18998430676648886,267.81734697748624,64.12311160357895
WITHIN_ABSOLUTE_SPECIFICATION,ABS_RESTORE,UNIT_BOUNDARY_PRIMARY,87 four-mode known objects conditional sufficient-vehicle sensitivity,S3,30.737745694619452,0.11477130231300285,267.81734697748624,64.12311160357895
WITHIN_ABSOLUTE_SPECIFICATION,ABS_RESTORE,UNIT_BOUNDARY_PRIMARY,87 four-mode known objects conditional sufficient-vehicle sensitivity,TW,5.19952738357652,0.01941445332894591,267.81734697748624,64.12311160357895
MODEL_SPECIFICATION_CHANGE_ON_COMMON_SCOPE,REFERENCE_PIVOT_PLANNED_CONDITIONAL,UNIT_BOUNDARY_PRIMARY,78 old/new common objects; pivot renormalized within DA S2 S3 TW,DA,203.5108699249984,0.801664018361582,253.86055163225123,
MODEL_SPECIFICATION_CHANGE_ON_COMMON_SCOPE,ABS_PLANNED_COMMON_SCOPE,UNIT_BOUNDARY_PRIMARY,78 old/new common objects; pivot renormalized within DA S2 S3 TW,DA,171.52116503377957,0.6756511160593767,253.86055163225123,
MODEL_SPECIFICATION_CHANGE_ON_COMMON_SCOPE,REFERENCE_PIVOT_PLANNED_CONDITIONAL,UNIT_BOUNDARY_PRIMARY,78 old/new common objects; pivot renormalized within DA S2 S3 TW,S2,28.841678138303962,0.11361228813559321,253.86055163225123,
MODEL_SPECIFICATION_CHANGE_ON_COMMON_SCOPE,ABS_PLANNED_COMMON_SCOPE,UNIT_BOUNDARY_PRIMARY,78 old/new common objects; pivot renormalized within DA S2 S3 TW,S2,48.21675960501277,0.18993403778173765,253.86055163225123,
MODEL_SPECIFICATION_CHANGE_ON_COMMON_SCOPE,REFERENCE_PIVOT_PLANNED_CONDITIONAL,UNIT_BOUNDARY_PRIMARY,78 old/new common objects; pivot renormalized within DA S2 S3 TW,S3,10.025676578961724,0.039492849576271194,253.86055163225123,
MODEL_SPECIFICATION_CHANGE_ON_COMMON_SCOPE,ABS_PLANNED_COMMON_SCOPE,UNIT_BOUNDARY_PRIMARY,78 old/new common objects; pivot renormalized within DA S2 S3 TW,S3,29.128196888293846,0.11474093434764801,253.86055163225123,
MODEL_SPECIFICATION_CHANGE_ON_COMMON_SCOPE,REFERENCE_PIVOT_PLANNED_CONDITIONAL,UNIT_BOUNDARY_PRIMARY,78 old/new common objects; pivot renormalized within DA S2 S3 TW,TW,11.482326989987174,0.04523084392655367,253.86055163225123,
MODEL_SPECIFICATION_CHANGE_ON_COMMON_SCOPE,ABS_PLANNED_COMMON_SCOPE,UNIT_BOUNDARY_PRIMARY,78 old/new common objects; pivot renormalized within DA S2 S3 TW,TW,4.99443010516504,0.0196739118112376,253.86055163225123,
